N;L;PAROLES;Dimension Dialogique;Dimension Epistémique
1;L3;heu alors vous aviez mis quoi vous comme objectifs du quartier;Q;0
2;L4;faciliter la vie collaborative;P1;0
3;L3;ouais;0;0
4;L4;réduire le prix d’achat d’un logement;P2;0
5;L3;ouais;0;0
0006a;L4;c’est directement relationné hum aider la planète, avec la réduction des polluants;P3;0
7;L3;hum hum;0;0
8;L4;réduire la consommation d’énergie non renouvelable;P4;0
9;L3;ok;0;0
10;L4;et après je n’avais pas le temps pour continuer;0;0
11;L3;nan mais c’est déjà pas mal et toi t’avais mis quoi;I;0
12;L2;heu quartier autosuffisant;P5;0
13;L3;ouais;0;0
14;L2;on tout est;0;0
15;L3;ouais ouais tout est de ouais ouais carrément;0;0
16;L2;on n’a pas besoin de tout est produit localement on n’a pas besoin de heu, on minimise la production de déchets ;Préc;0
17;L3;ouais;0;0
18;L2;heu et heu quartier où il fait bon vivre;P6;0
19;L3;ouais ok;0;0
20;L2;ouais c’est ça;0;0
21;L3;d’accord heu moi j’avais mis c’était moins détaillé j’avais juste mis heu que les habitants soient heureux et épanouis;P7;0
22;L2;d’accord;0;0
23;L3;mais du coup je trouve que enfin je sais pas toi t’en penses quoi le côté autosuffisant je trouve que ça réunit bien les problématiques;[+];0
;;;-12;
24;L2;ouais;0;0
25;L3;et après heu;0;0
26;L4;oui la la question c’est qui sont les gens je pense c’est pas tout le monde qui fait ça qui a les choses qui comment je vais dire ça tous les quartiers collaboratifs aujourd’hui font la même chose le but c’est ils utilisent de l’énergie renouvelables;Arg+;FAI
;;;(P5);(efficacité)
27;L3;ouais c’est d’être heu plus moins consommateur;[+];0
;;;-26;
28;L2;ouais;[+];0
;;;-27;
29;L3;donc du coup je peux prendre ton stylo pour écrire;0;0
30;L4;oui;0;0
31;L2;tu penses heu oui le fait d’être autosuffisant on va consommer juste ce qui est produit localement;P8;0
32;L3;ouais et du coup ça réduit forcément;[+];0
;;;-31;
33;L2;ouais;0;0
34;L3;du coup ça te va autosuffisant ?;Q;0
35;L4;oui;0;0
36;L3;ok;0;0
37;L4;on peut créer des listes je pensais;0;0
38;L3;ouais ouais carrément;0;0
39;L2;moi aussi j’ai pensé au fait que le coût d’exploitation et de maintenance du quartier il soit raisonnable, c’est dans l’idée autosuffisant on n’aura pas besoin;Préc;0
40;L3;mais après heu ouais ;[+];0
;;;-39;
41;L2;ouais faut qu’il y ait une banque;P9;0
42;L3;nan mais je trouve ça cool autosuffisant dans le sens où ça t’oblige à faire plein de projets de façon à faire des trucs localement ;Arg+;VA
;;;(P5);(engagement)
43;L2;voilà;[+];0
;;;-42;
44;L3;et ça oblige les habitants à se bouger pour faire des trucs tu vois;Arg+;VA
;;;(P5);(engagement)
45;L2;voilà;[+];0
;;;-44;
46;L4;à ton avis quelle catégorie de gens qui cherchent habiter dans un quartier collaboratif;Q;0
47;L3;moi je pense c’est d’être aussi pas tout seul à faire les trucs en commun tu vois;Arg+;VA
;;;(P5);(engagement)
48;L4;Seulement je pense qu’il peut être une personne qui, je pense à je suis seul et je voudrais beaucoup habiter avec qui dans une ambiance collaborative, c’est une idée mais en même temps je pense qui sont les gens qui aiment beaucoup les énergies renouvelables ? ;Q;0
49;L3;oui;0;0
50;L2;ouais et je pense qu’il y a beaucoup de personnes dans ce cas et heu beaucoup de citoyens qui veulent se sentir responsables;Arg+;VA
;;;(P5);(engagement)
51;L3;ouais;[+];0
;;;-50;
52;L2;heu vis-à-vis de l’environnement vis-à-vis de l’économie et donc;Arg+;VA
;;;(P5);(engagement)
53;L4;je pense que ça serait bien de mettre ça aussi;[+];0
;;;-52;
60;L3;les coûts ?;Q;0
61;L2;les déchets des produits;Préc;0
62;L3;ouais et du coup le;0;0
63;L4;ah oui ça c’est intéressant;[+];0
;;;-62;
64;L3;genre recycler au maximum;P10;0
65;L2;voilà;[+];0
;;;-64;
72;L4;c’est pas seulement minimiser mais recycler ;Préc;0
73;L3;ouais;[+];0
;;;-72;
74;L2;voilà justement en recyclant on minimise heu on va soit éviter de d’avoir des emballages inutiles soit recycler pour ne pas jeter donc voilà;Arg+;FAI
;;;(P10);(efficacité)
75;L4;oui;[+];0
;;;-74;
76;L2;c’est recycler aussi;Préc;0
77;L3;donc je mets recycler au maximum;0;0
78;L2;ouais recycler et minimiser la production de déchets parce que par exemple pour la minimiser pour qu’on n’ait même pas besoin de recycler des fois au lieu d’avoir un emballage heu y’a des emballages qui servent à rien on va pas les on va pas utiliser l’emballage puis le recycler parce que le recyclage ça va avoir un coût on va heu d’entrée ne pas avoir d’emballage;Arg+;FAI
